_key,strokes,grade,freq,jlpt_old,jlpt_new,meanings/0,meanings/1,readings_on/0,readings_on/1,readings_kun/0,readings_kun/1,wk_level,wk_meanings/0,wk_readings_on/0,wk_readings_on/1,wk_readings_kun/0,wk_radicals/0,readings_kun/2,wk_readings_kun/1,readings_kun/3,readings_kun/4,readings_kun/5,meanings/2,meanings/3,meanings/4,meanings/5,readings_on/2,wk_meanings/1,wk_radicals/1,readings_kun/6,readings_kun/7,readings_kun/8,readings_kun/9,readings_kun/10,readings_kun/11,readings_kun/12,readings_kun/13,readings_kun/14,wk_meanings/2,wk_readings_kun/2,wk_readings_kun/3,wk_readings_kun/4,wk_meanings/3,readings_on/3,readings_on/4,meanings/6,meanings/7,meanings/8,meanings/9,meanings/10,meanings/11,meanings/12,wk_readings_on/2,wk_radicals/2,wk_radicals/3,wk_meanings/4,readings_kun/15,readings_kun/16,readings_kun/17,meanings/13,wk_radicals/4,wk_readings_kun/5,readings_on/5,readings_on/6
午,4,2,154,4,5,Noon,Sign Of The Horse,ご,,うま,,3,Noon,ご,,,Slide,,,,,,11am-1pm,Seventh Sign Of Chinese Zodiac,,,,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
友,4,2,622,4,5,Friend,,ゆう,,とも,,3,Friend,ゆう,,!とも,Narwhal,,,,,,,,,,,,Stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
太,4,2,552,3,3,Plump,Thick,たい,た,ふと.い,ふと.る,3,Fat,たい,た,!ふと,Big,,,,,,Big Around,,,,,,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少,4,2,287,4,4,Few,Little,しょう,,すく.ない,すこ.し,3,Few,しょう,,!すこ,Small,,,,,,,,,,,^A Little,Slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
引,4,2,218,3,3,Pull,Tug,いん,,ひ.く,ひ.き,3,Pull,!いん,,ひ,Bow,ひ.き-,,-び.き,ひ.ける,,Jerk,Admit,Install,Quote,,,Stick,,,,,,,,,,,,,,,,,Refer To,,,,,,,,,,,,,,,,,,
心,4,2,157,3,4,Heart,Mind,しん,,こころ,-ごころ,3,Heart,しん,,!こころ,Heart,,,,,,Spirit,Heart Radical (no. 61),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
戸,4,2,575,2,2,Door,Counter For Houses,こ,,と,,3,Door,!こ,,と,Door,,,,,,Door Radical (no. 63),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方,4,2,46,3,4,Direction,Person,ほう,,かた,-かた,3,Direction,ほう,,!かた,Direction,-がた,,,,,Alternative,,,,,^Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
牛,4,2,1202,3,4,Cow,,ぎゅう,,うし,,3,Cow,ぎゅう,,!うし,Cow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
父,4,2,646,4,5,Father,,ふ,,ちち,,3,Father,!ふ,,ちち,Father,,,,,,,,,,,^Dad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
毛,4,2,1179,2,2,Fur,Hair,もう,,け,,3,Fur,もう,,!け,Fur,,,,,,Feather,Down,,,,^Hair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
止,4,2,310,3,4,Stop,Halt,し,,と.まる,-ど.まり,3,Stop,し,,!と,Stop,と.める,!や,-と.める,-ど.め,とど.める,,,,,,,,とど.め,とど.まる,や.める,や.む,-や.む,よ.す,-さ.す,-さ.し,,,,,,,,,,,,,,,,,,,,,,,,,,,
兄,5,2,1219,3,4,Elder Brother,Big Brother,けい,きょう,あに,,5,Older Brother,きょう,,!あに,Mouth,,,,,,,,,,,^Big Brother,Legs,,,,,,,,,,^Elder Brother,,,,,,,,,,,,,,,,,,,,,,,,,
冬,5,2,1090,3,4,Winter,,とう,,ふゆ,,3,Winter,!とう,,ふゆ,Winter,,,,,,,,,,,,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北,5,2,153,4,5,North,,ほく,,きた,,3,North,ほく,,!きた,Fingers,,,,,,,,,,,,Spoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
半,5,2,224,4,5,Half,Middle,はん,,なか.ば,,3,Half,はん,,!なか,Triceratops,,,,,,Odd Number,Semi-,Part-,,,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
古,5,2,509,4,4,Old,,こ,,ふる.い,ふる-,3,Old,こ,,!ふる,Old,-ふる.す,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台,5,2,262,3,4,Pedestal,A Stand,だい,たい,うてな,われ,3,Machine,だい,^たい,,Private,つかさ,,,,,Counter For Machines And Vehicles,,,,,,Mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外,5,2,81,4,5,Outside,,がい,げ,そと,ほか,3,Outside,がい,,!そと,Evening,はず.す,!はず,はず.れる,と-,,,,,,,,Toe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
市,5,2,42,3,3,Market,City,し,,いち,,3,City,し,,!いち,Lid,,,,,,Town,,,,,,Towel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
広,5,2,263,3,4,Wide,Broad,こう,,ひろ.い,ひろ.まる,3,Wide,!こう,,ひろ,Canopy,ひろ.める,,ひろ.がる,ひろ.げる,,Spacious,,,,,,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
